feature,count,min_val,max_val,mean_val,median_val,expected_min,expected_max,notes
bilirubin,1575798,0.1,87.2,1.5007385464380587,0.5,0.1,60,
bun,4200695,1.0,305.0,24.14840301426311,18.0,1.0,250,
creatinine,4317391,0.07,808.0,1.33894753567606,0.9,0.1,30,Extreme max: 808
dbp,8464494,1.0,114109.0,63.264650107270555,60.5,30.0,200,Extreme max: 114109
glucose,3621279,1.0,23200.0,127.87407589970289,110.0,20.0,1200,Extreme max: 23200
heart_rate,8748458,1.0,10000000.0,88.0671145669329,85.0,20.0,250,Extreme max: 10000000
hemoglobin,4172445,1.03,24.9,10.958924697629328,10.9,3.0,25,
platelets,4197870,5.0,2989.0,230.75778690145242,218.0,5.0,1200,
potassium,4147219,0.7,26.5,4.189083933112764,4.1,1.0,15,
resp_rate,8604779,0.0001,7000400.0,21.383436742547385,20.0,5.0,60,Extreme max: 7000400
sbp,8465986,0.1,1025100.0,119.76799119996946,116.5,40.0,250,Extreme max: 1025100
sodium,4110683,67.0,185.0,138.54343005773012,139.0,90.0,180,
spo2,8566442,0.01,9900000.0,103.97037257296553,97.0,50.0,100,Extreme max: 9900000
temperature,2449676,0.1,234123.0,67.88196189796254,67.7,95.0,105,"MIMIC labels swapped: 223761=F, 223762=C; Extreme max: 234123"
wbc,4145868,0.1,12500.0,8.890291208982047,7.6,0.1,100,Extreme max: 12500
