feature,outlier_rate,n
heart_rate,3.265159523449967e-05,1470066
sbp,0.0002865791904555218,1437648
dbp,0.0035212566036606874,1437271
resp_rate,0.000581446276916031,1449833
spo2,0.00022128636530229791,1446090
temperature,7.010334199552789e-05,413675
wbc,0.0010496124977116006,81935
creatinine,0.0,93015
platelets,5.9921143774792376e-05,83443
bilirubin,0.000712472725653471,22457
glucose,0.0004341408352869671,92136
bun,3.229835063089445e-05,92884
sodium,9.79691005456879e-06,102073
potassium,0.0,100870
hemoglobin,0.0,83617
